Time,TX,TY,TZ
0,"20.8343","5.24168","16.2292"
0.00833333,"20.8586","5.23957","16.214"
0.0166667,"20.8151","5.31042","16.2186"
0.025,"20.8351","5.27045","16.1769"
0.0333333,"20.8293","5.23242","16.1648"
0.0416667,"20.7956","5.23425","16.1932"
0.05,"20.8085","5.21501","16.2156"
0.0583333,"20.7992","5.24906","16.238"
0.0666667,"20.775","5.25953","16.2198"
0.075,"20.8052","5.22615","16.1721"
0.0833333,"20.8127","5.17971","16.1424"
0.0916667,"20.7895","5.26314","16.1903"
0.1,"20.8104","5.26687","16.2057"
0.108333,"20.8308","5.26265","16.2052"
0.116667,"20.8349","5.24818","16.1925"
0.125,"20.8168","5.25831","16.1957"
0.133333,"20.7877","5.23753","16.2086"
0.141667,"20.8198","5.22911","16.2415"
0.15,"20.7947","5.26477","16.2576"
0.158333,"20.7991","5.22491","16.2155"
0.166667,"20.7727","5.2392","16.1922"
0.175,"20.7982","5.25895","16.146"
0.183333,"20.7994","5.27591","16.1423"
0.191667,"20.8075","5.24942","16.1718"
0.2,"20.8054","5.25648","16.2087"
0.208333,"20.8373","5.22862","16.209"
0.216667,"20.8158","5.23013","16.2364"
0.225,"20.8146","5.24358","16.2343"
0.233333,"20.8145","5.26114","16.2407"
0.241667,"20.8082","5.26214","16.2161"
0.25,"20.81","5.22344","16.2141"
0.258333,"20.8219","5.23018","16.197"
0.266667,"20.8295","5.2649","16.2045"
0.275,"20.8116","5.30016","16.1938"
0.283333,"20.8135","5.27797","16.1644"
0.291667,"20.8193","5.19711","16.1785"
0.3,"20.7917","5.21759","16.1677"
0.308333,"20.7864","5.20046","16.1614"
0.316667,"20.7834","5.23016","16.2127"
0.325,"20.8006","5.27708","16.2421"
0.333333,"20.8015","5.25084","16.2796"
0.341667,"20.79","5.28313","16.276"
0.35,"20.7722","5.32689","16.244"
0.358333,"20.8034","5.28105","16.2316"
0.366667,"20.7958","5.26236","16.2113"
0.375,"20.7894","5.24083","16.1691"
0.383333,"20.8071","5.20369","16.1602"
0.391667,"20.7897","5.21768","16.1766"
0.4,"20.787","5.23626","16.1827"
0.408333,"20.8213","5.22325","16.2054"
0.416667,"20.8435","5.25059","16.2103"
0.425,"20.8376","5.2902","16.2211"
0.433333,"20.8126","5.28183","16.235"
0.441667,"20.8306","5.2771","16.2727"
0.45,"20.8014","5.29662","16.2346"
0.458333,"20.7821","5.25133","16.204"
0.466667,"20.7869","5.22485","16.1624"
0.475,"20.7759","5.20056","16.1394"
0.483333,"20.803","5.23844","16.1652"
0.491667,"20.8121","5.23073","16.2049"
0.5,"20.8267","5.21778","16.2149"
0.508333,"20.8068","5.2755","16.2185"
0.516667,"20.7712","5.25874","16.2115"
0.525,"20.8137","5.27455","16.2538"
0.533333,"20.8396","5.24671","16.2461"
0.541667,"20.8188","5.25515","16.2442"
0.55,"20.811","5.23592","16.2112"
0.558333,"20.8133","5.20384","16.1795"
0.566667,"20.8429","5.21632","16.1183"
0.575,"20.8011","5.25086","16.1158"
0.583333,"20.8003","5.22833","16.0961"
0.591667,"20.8095","5.23398","16.157"
0.6,"20.7958","5.22102","16.1885"
0.608333,"20.7974","5.23328","16.2447"
0.616667,"20.783","5.27789","16.281"
0.625,"20.7939","5.27464","16.2681"
0.633333,"20.7783","5.29953","16.2199"
0.641667,"20.8186","5.27023","16.1887"
0.65,"20.7929","5.28793","16.1534"
0.658333,"20.7993","5.27562","16.1305"
0.666667,"20.8406","5.23589","16.1168"
0.675,"20.8002","5.21352","16.144"
0.683333,"20.8258","5.18007","16.2045"
0.691667,"20.7924","5.24767","16.2684"
0.7,"20.8303","5.21021","16.293"
0.708333,"20.8405","5.21101","16.2594"
0.716667,"20.822","5.24671","16.2334"
0.725,"20.8258","5.28123","16.1809"
