Frame,Sub Frame,"Position - cf14",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"11.8916","23.2671","11.8218"
2,0,"11.9047","23.2707","11.7961"
3,0,"11.9018","23.2855","11.8098"
4,0,"11.9044","23.299","11.811"
5,0,"11.914","23.293","11.8264"
6,0,"11.8974","23.2899","11.8685"
7,0,"11.898","23.2847","11.8743"
8,0,"11.902","23.2908","11.8765"
9,0,"11.8852","23.2734","11.8568"
10,0,"11.8914","23.2713","11.8376"
11,0,"11.895","23.2891","11.8165"
12,0,"11.894","23.2813","11.8047"
13,0,"11.8938","23.2776","11.7987"
14,0,"11.9059","23.2727","11.806"
15,0,"11.9025","23.2706","11.8368"
16,0,"11.9224","23.2913","11.8504"
17,0,"11.9061","23.2988","11.8652"
18,0,"11.9032","23.3101","11.8481"
19,0,"11.9115","23.3123","11.8418"
20,0,"11.9012","23.3045","11.8277"
21,0,"11.8884","23.2869","11.8329"
22,0,"11.8821","23.2595","11.8221"
23,0,"11.8717","23.2796","11.8308"
24,0,"11.8906","23.2756","11.8407"
25,0,"11.9054","23.2589","11.8372"
26,0,"11.9152","23.2709","11.8295"
27,0,"11.8966","23.2835","11.8635"
28,0,"11.8953","23.3213","11.8944"
29,0,"11.904","23.3412","11.901"
30,0,"11.9098","23.3451","11.8676"
31,0,"11.9228","23.3271","11.8545"
32,0,"11.9203","23.3115","11.837"
33,0,"11.9094","23.2814","11.8144"
34,0,"11.8878","23.2381","11.8144"
35,0,"11.8992","23.2442","11.8254"
36,0,"11.8776","23.2671","11.8521"
37,0,"11.8972","23.2773","11.8459"
38,0,"11.8988","23.2864","11.8283"
39,0,"11.8905","23.3037","11.8466"
40,0,"11.9031","23.3196","11.8295"
41,0,"11.908","23.3373","11.8504"
42,0,"11.9205","23.3443","11.8889"
43,0,"11.9159","23.3413","11.8981"
44,0,"11.9038","23.3237","11.9226"
45,0,"11.8957","23.2901","11.884"
46,0,"11.8895","23.2608","11.8445"
47,0,"11.8786","23.259","11.8095"
48,0,"11.8954","23.2405","11.7764"
49,0,"11.9218","23.2564","11.7842"
50,0,"11.9062","23.2601","11.7781"
51,0,"11.9223","23.2504","11.8013"
52,0,"11.8993","23.271","11.8034"
53,0,"11.8939","23.2882","11.8436"
54,0,"11.8913","23.2819","11.8685"
55,0,"11.8895","23.3113","11.8837"
56,0,"11.8941","23.3158","11.8949"
57,0,"11.8879","23.317","11.8673"
58,0,"11.8863","23.3179","11.836"
59,0,"11.8904","23.2964","11.8134"
60,0,"11.8916","23.2772","11.813"
61,0,"11.8884","23.2767","11.8325"
62,0,"11.8824","23.247","11.8005"
63,0,"11.9155","23.2399","11.8072"
64,0,"11.8931","23.2583","11.8153"
65,0,"11.8989","23.276","11.823"
66,0,"11.8998","23.2822","11.824"
67,0,"11.8892","23.3237","11.8388"
68,0,"11.8921","23.3301","11.8815"
69,0,"11.8847","23.343","11.8839"
70,0,"11.8926","23.3218","11.8661"
71,0,"11.8846","23.2972","11.8451"
72,0,"11.8919","23.29","11.8626"
73,0,"11.8763","23.2546","11.8458"
74,0,"11.8933","23.2526","11.7936"
75,0,"11.8876","23.2555","11.7866"
76,0,"11.8891","23.2623","11.7872"
77,0,"11.8956","23.2826","11.7966"
78,0,"11.8994","23.3043","11.8452"
79,0,"11.9186","23.2975","11.8732"
80,0,"11.9078","23.3186","11.9072"
81,0,"11.9088","23.3207","11.92"
82,0,"11.8988","23.303","11.8873"
83,0,"11.8991","23.3131","11.8616"
84,0,"11.908","23.282","11.8464"
85,0,"11.9143","23.2709","11.8239"
86,0,"11.9072","23.2611","11.795"
87,0,"11.8978","23.2576","11.7881"
88,0,"11.9039","23.2837","11.8075"
89,0,"11.9113","23.2987","11.8481"
90,0,"11.8968","23.3073","11.8723"
91,0,"11.8985","23.2957","11.8969"
92,0,"11.8943","23.2915","11.8863"
93,0,"11.9042","23.2863","11.8716"
94,0,"11.9115","23.2823","11.8481"
95,0,"11.9314","23.2817","11.8333"
96,0,"11.9198","23.2954","11.8327"
97,0,"11.9235","23.2955","11.8418"
98,0,"11.9183","23.2963","11.8319"
99,0,"11.9119","23.2955","11.8298"
100,0,"11.9024","23.3067","11.8253"
101,0,"11.8847","23.3036","11.8673"
102,0,"11.8935","23.3037","11.8833"
103,0,"11.8858","23.2996","11.8816"
104,0,"11.8881","23.2919","11.8613"
105,0,"11.884","23.2809","11.8242"
106,0,"11.884","23.2648","11.8023"
107,0,"11.9034","23.2592","11.7816"
108,0,"11.9015","23.262","11.788"
109,0,"11.8882","23.2611","11.8179"
110,0,"11.883","23.2638","11.8297"
111,0,"11.8976","23.2894","11.8423"
112,0,"11.8946","23.3095","11.8476"
113,0,"11.8719","23.3259","11.8744"
114,0,"11.848","23.2912","11.8286"
115,0,"11.8821","23.3021","11.8327"
116,0,"11.8707","23.2646","11.7808"
117,0,"11.8672","23.2612","11.7511"
118,0,"11.9002","23.2725","11.7642"
119,0,"11.891","23.276","11.7856"
120,0,"11.8653","23.2491","11.7918"
121,0,"11.8696","23.2611","11.8469"
122,0,"11.8568","23.2569","11.8263"
123,0,"11.8342","23.2367","11.8147"
124,0,"11.8221","23.2381","11.8405"
125,0,"11.7831","23.2202","11.8116"
126,0,"11.8108","23.2369","11.8487"
127,0,"11.7784","23.2759","11.8573"
128,0,"11.7343","23.2873","11.8897"
129,0,"11.6679","23.3319","11.8709"
130,0,"11.6377","23.3535","11.8703"
131,0,"11.6","23.3877","11.8636"
132,0,"11.5724","23.4747","11.8713"
133,0,"11.5249","23.5838","11.8894"
134,0,"11.4882","23.7139","11.8815"
135,0,"11.4534","23.8488","11.8744"
136,0,"11.4284","23.9779","11.8675"
137,0,"11.3837","24.1057","11.8768"
138,0,"11.3467","24.2686","11.8255"
139,0,"11.2897","24.4347","11.9149"
140,0,"11.2167","24.5967","11.9456"
141,0,"11.1938","24.7462","11.9446"
