Frame,Sub Frame,"Position - cf14",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"13.6225","24.2555","11.6991"
2,0,"13.6184","24.2523","11.6915"
3,0,"13.6268","24.2479","11.6913"
4,0,"13.6384","24.2637","11.6863"
5,0,"13.6777","24.2944","11.69"
6,0,"13.672","24.3232","11.6863"
7,0,"13.672","24.3228","11.6963"
8,0,"13.6566","24.3156","11.7166"
9,0,"13.6321","24.3352","11.7388"
10,0,"13.6553","24.3382","11.7785"
11,0,"13.6388","24.323","11.7798"
12,0,"13.6524","24.3067","11.7429"
13,0,"13.637","24.2739","11.7234"
14,0,"13.6483","24.2594","11.6778"
15,0,"13.658","24.2291","11.6499"
16,0,"13.6565","24.2403","11.6185"
17,0,"13.666","24.2548","11.6209"
18,0,"13.6731","24.3016","11.6696"
19,0,"13.6438","24.3065","11.7013"
20,0,"13.6364","24.2996","11.7367"
21,0,"13.6497","24.312","11.7711"
22,0,"13.626","24.305","11.7839"
23,0,"13.6436","24.3305","11.7904"
24,0,"13.6255","24.3097","11.7787"
25,0,"13.6544","24.3152","11.7387"
26,0,"13.678","24.3142","11.7063"
27,0,"13.6814","24.3136","11.6658"
28,0,"13.6866","24.2999","11.6307"
29,0,"13.7009","24.2929","11.6607"
30,0,"13.6855","24.2892","11.7037"
31,0,"13.6705","24.2943","11.7574"
32,0,"13.6561","24.2969","11.7907"
33,0,"13.6514","24.3166","11.7889"
34,0,"13.6374","24.3149","11.8005"
35,0,"13.6582","24.3458","11.7976"
36,0,"13.6762","24.3254","11.7516"
37,0,"13.6738","24.3135","11.7103"
38,0,"13.6845","24.297","11.6802"
39,0,"13.6664","24.274","11.6569"
40,0,"13.663","24.2573","11.6577"
41,0,"13.651","24.2528","11.6731"
42,0,"13.6488","24.2835","11.7424"
43,0,"13.6476","24.3228","11.7763"
44,0,"13.6462","24.3362","11.7874"
45,0,"13.6621","24.359","11.8012"
46,0,"13.6564","24.373","11.8002"
47,0,"13.6783","24.3603","11.776"
48,0,"13.6773","24.3277","11.7151"
49,0,"13.674","24.2767","11.6828"
50,0,"13.6583","24.2599","11.6555"
51,0,"13.663","24.2479","11.6509"
52,0,"13.6353","24.2388","11.6391"
53,0,"13.6227","24.251","11.6617"
54,0,"13.6203","24.2758","11.6975"
55,0,"13.6343","24.3161","11.7296"
56,0,"13.6451","24.3284","11.7629"
57,0,"13.6546","24.344","11.7751"
58,0,"13.6439","24.3381","11.7686"
59,0,"13.6652","24.3113","11.7491"
60,0,"13.6557","24.293","11.7043"
61,0,"13.6583","24.2633","11.6576"
62,0,"13.6538","24.2713","11.6188"
63,0,"13.6495","24.269","11.641"
64,0,"13.6463","24.2795","11.6831"
65,0,"13.6538","24.2893","11.7247"
66,0,"13.6565","24.3025","11.7393"
67,0,"13.6498","24.3048","11.7365"
68,0,"13.6179","24.2867","11.733"
69,0,"13.6258","24.276","11.7038"
70,0,"13.6543","24.2712","11.6972"
71,0,"13.6589","24.2853","11.7033"
72,0,"13.662","24.3007","11.7135"
73,0,"13.6641","24.3027","11.7013"
74,0,"13.6747","24.3148","11.6967"
75,0,"13.6652","24.305","11.717"
76,0,"13.6642","24.3005","11.7433"
77,0,"13.6438","24.2734","11.7393"
78,0,"13.6586","24.2904","11.7552"
79,0,"13.6595","24.3027","11.7685"
80,0,"13.6822","24.325","11.7609"
81,0,"13.6997","24.35","11.7521"
82,0,"13.7138","24.3407","11.7346"
83,0,"13.7198","24.3502","11.731"
84,0,"13.6861","24.3181","11.7213"
85,0,"13.6581","24.2927","11.7059"
86,0,"13.6523","24.2707","11.7065"
87,0,"13.6482","24.2608","11.7395"
88,0,"13.6352","24.27","11.7616"
89,0,"13.634","24.2977","11.7844"
90,0,"13.6531","24.3321","11.7766"
91,0,"13.6764","24.3585","11.7585"
92,0,"13.6962","24.3727","11.7453"
93,0,"13.7086","24.3473","11.7164"
94,0,"13.6867","24.3296","11.6932"
95,0,"13.6595","24.2935","11.6953"
96,0,"13.6498","24.2806","11.715"
97,0,"13.6502","24.2863","11.7338"
98,0,"13.6511","24.3043","11.7504"
99,0,"13.6599","24.3033","11.7638"
100,0,"13.6573","24.3158","11.7527"
101,0,"13.6489","24.3035","11.7272"
102,0,"13.6673","24.289","11.6745"
103,0,"13.6622","24.2784","11.6663"
104,0,"13.6236","24.2581","11.6222"
105,0,"13.6508","24.2416","11.663"
106,0,"13.6372","24.2664","11.7164"
107,0,"13.6101","24.2475","11.7159"
108,0,"13.6232","24.2492","11.7253"
109,0,"13.6288","24.2899","11.7189"
110,0,"13.6343","24.3011","11.6792"
111,0,"13.6279","24.3155","11.6695"
112,0,"13.6431","24.3212","11.6806"
113,0,"13.6448","24.306","11.7034"
114,0,"13.6457","24.3053","11.7501"
115,0,"13.6422","24.2474","11.7874"
116,0,"13.679","24.2173","11.7818"
117,0,"13.7094","24.1933","11.7806"
118,0,"13.6964","24.1917","11.7401"
119,0,"13.7343","24.2165","11.6765"
120,0,"13.7284","24.2482","11.6763"
121,0,"13.6817","24.2217","11.6887"
122,0,"13.646","24.2182","11.6986"
123,0,"13.5987","24.1959","11.7156"
124,0,"13.5896","24.1867","11.7296"
125,0,"13.5662","24.1822","11.7996"
126,0,"13.5709","24.1999","11.8393"
127,0,"13.5542","24.2611","11.9029"
128,0,"13.5508","24.2802","11.8096"
129,0,"13.4861","24.3056","11.7989"
130,0,"13.4299","24.3243","11.8087"
131,0,"13.3795","24.3598","11.7156"
132,0,"13.2973","24.3874","11.7142"
133,0,"13.1983","24.4434","11.7649"
134,0,"13.1159","24.5223","11.8582"
135,0,"13.0781","24.5603","11.8612"
136,0,"13.0141","24.6366","11.869"
137,0,"12.9429","24.7308","11.8185"
138,0,"12.8433","24.8127","11.8714"
139,0,"12.7738","24.9629","11.8557"
140,0,"12.6772","25.0639","11.7422"
141,0,"12.5952","25.1849","11.6665"
