Frame,Sub Frame,"Position - cf14",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"14.6887","20.3644","11.6176"
2,0,"14.7003","20.3711","11.5997"
3,0,"14.6944","20.3863","11.6233"
4,0,"14.7114","20.3921","11.6598"
5,0,"14.7111","20.3923","11.6606"
6,0,"14.7034","20.3998","11.6582"
7,0,"14.7258","20.4015","11.6784"
8,0,"14.7258","20.4123","11.6958"
9,0,"14.7278","20.3775","11.6413"
10,0,"14.7221","20.3504","11.6055"
11,0,"14.6861","20.3466","11.5906"
12,0,"14.6947","20.3346","11.5684"
13,0,"14.7221","20.3487","11.5941"
14,0,"14.7279","20.3768","11.6146"
15,0,"14.7247","20.3959","11.6539"
16,0,"14.7254","20.416","11.6863"
17,0,"14.7245","20.412","11.7041"
18,0,"14.6954","20.3851","11.7196"
19,0,"14.6916","20.3966","11.6976"
20,0,"14.7117","20.3968","11.6671"
21,0,"14.7065","20.3934","11.6231"
22,0,"14.7209","20.3845","11.5942"
23,0,"14.7349","20.3886","11.5784"
24,0,"14.7435","20.3845","11.593"
25,0,"14.7413","20.3889","11.6214"
26,0,"14.7095","20.3804","11.6752"
27,0,"14.6963","20.3555","11.6962"
28,0,"14.6927","20.3796","11.7082"
29,0,"14.6947","20.402","11.7047"
30,0,"14.6941","20.4072","11.6836"
31,0,"14.7251","20.4054","11.6437"
32,0,"14.73","20.3905","11.5997"
33,0,"14.7306","20.3855","11.5676"
34,0,"14.7245","20.3615","11.5788"
35,0,"14.7168","20.3511","11.6135"
36,0,"14.7002","20.3593","11.6548"
37,0,"14.6935","20.3698","11.695"
38,0,"14.7038","20.3879","11.7035"
39,0,"14.7026","20.3793","11.6834"
40,0,"14.7185","20.3979","11.6597"
41,0,"14.7193","20.4042","11.6182"
42,0,"14.7537","20.4002","11.6051"
43,0,"14.7414","20.3933","11.6069"
44,0,"14.7217","20.3731","11.6291"
45,0,"14.7199","20.3642","11.6258"
46,0,"14.6873","20.3654","11.6393"
47,0,"14.6785","20.3714","11.6598"
48,0,"14.7051","20.3788","11.6715"
49,0,"14.704","20.4018","11.6854"
50,0,"14.708","20.4089","11.6586"
51,0,"14.7025","20.398","11.6599"
52,0,"14.7074","20.3948","11.641"
53,0,"14.7097","20.3523","11.6"
54,0,"14.7256","20.3399","11.5954"
55,0,"14.7103","20.3521","11.6134"
56,0,"14.709","20.3703","11.63"
57,0,"14.7288","20.3901","11.6384"
58,0,"14.7226","20.4058","11.6453"
59,0,"14.7186","20.4137","11.666"
60,0,"14.705","20.4317","11.6842"
61,0,"14.7046","20.4226","11.7126"
62,0,"14.7205","20.4142","11.7252"
63,0,"14.7043","20.3948","11.6898"
64,0,"14.7157","20.3847","11.6265"
65,0,"14.7273","20.3546","11.5785"
66,0,"14.7214","20.34","11.5672"
67,0,"14.7166","20.3501","11.5902"
68,0,"14.714","20.3665","11.6252"
69,0,"14.6865","20.3904","11.6579"
70,0,"14.6887","20.397","11.6916"
71,0,"14.7162","20.4045","11.6944"
72,0,"14.7261","20.3959","11.6738"
73,0,"14.7159","20.3963","11.681"
74,0,"14.7174","20.3733","11.6746"
75,0,"14.7363","20.3758","11.6415"
76,0,"14.7539","20.3842","11.6326"
77,0,"14.7373","20.395","11.6296"
78,0,"14.7354","20.3997","11.6247"
79,0,"14.7212","20.385","11.6144"
80,0,"14.7012","20.3726","11.6297"
81,0,"14.7079","20.3692","11.6344"
82,0,"14.699","20.3776","11.6685"
83,0,"14.7129","20.3879","11.6904"
84,0,"14.7156","20.3695","11.6866"
85,0,"14.707","20.3712","11.6499"
86,0,"14.7295","20.383","11.6297"
87,0,"14.7356","20.3881","11.6101"
88,0,"14.7393","20.3862","11.6258"
89,0,"14.74","20.3847","11.6451"
90,0,"14.6961","20.3953","11.665"
91,0,"14.7102","20.3913","11.7032"
92,0,"14.713","20.3901","11.6795"
93,0,"14.687","20.3544","11.6997"
94,0,"14.7078","20.3682","11.6791"
95,0,"14.7003","20.3772","11.6454"
96,0,"14.7196","20.3483","11.6528"
97,0,"14.7169","20.3602","11.6496"
98,0,"14.7136","20.3794","11.6306"
99,0,"14.6997","20.3734","11.5986"
100,0,"14.6733","20.364","11.6265"
101,0,"14.6541","20.3605","11.6503"
102,0,"14.6862","20.3985","11.6911"
103,0,"14.6961","20.4243","11.7565"
104,0,"14.6876","20.4308","11.7436"
105,0,"14.6793","20.4515","11.7032"
106,0,"14.6395","20.4627","11.6628"
107,0,"14.6311","20.4828","11.6744"
108,0,"14.6253","20.4893","11.6232"
109,0,"14.6258","20.4738","11.6301"
110,0,"14.6532","20.4559","11.6941"
111,0,"14.6635","20.4507","11.7435"
112,0,"14.6511","20.4148","11.7927"
113,0,"14.6421","20.3623","11.7685"
114,0,"14.6122","20.3446","11.7556"
115,0,"14.5716","20.3566","11.8052"
116,0,"14.5471","20.3565","11.7494"
117,0,"14.5444","20.3444","11.6211"
118,0,"14.5034","20.3663","11.671"
119,0,"14.4763","20.3762","11.6581"
120,0,"14.4356","20.411","11.6461"
121,0,"14.4061","20.4446","11.7159"
122,0,"14.3747","20.4857","11.7634"
123,0,"14.3565","20.5305","11.8277"
124,0,"14.3247","20.573","11.8332"
125,0,"14.2748","20.599","11.8053"
126,0,"14.2128","20.6352","11.7514"
127,0,"14.1733","20.641","11.7195"
128,0,"14.1165","20.6633","11.6898"
129,0,"14.0714","20.701","11.6855"
130,0,"14.0646","20.7254","11.7083"
131,0,"14.0705","20.7664","11.7198"
132,0,"14.0571","20.7519","11.74"
133,0,"14.043","20.7709","11.7821"
134,0,"14.032","20.8085","11.774"
135,0,"14.0544","20.7897","11.7387"
136,0,"14.0625","20.798","11.7167"
137,0,"14.0875","20.8513","11.7822"
138,0,"14.0771","20.8975","11.7697"
139,0,"14.0888","20.8939","11.7052"
140,0,"14.0667","20.9278","11.7448"
141,0,"14.0535","20.9563","11.753"
