Time,"Position - cf13",,
,"TX","TY","TZ"
Seconds,"mm","mm","mm"
0,"19.8777","27.3118","14.8144"
0.00833333,"19.9021","27.3376","14.7993"
0.0166667,"19.8985","27.3107","14.7846"
0.025,"19.8962","27.3416","14.8106"
0.0333333,"19.9391","27.3581","14.8267"
0.0416667,"19.9943","27.4194","14.87"
0.05,"19.8988","27.2997","14.8636"
0.0583333,"19.9454","27.3895","14.9305"
0.0666667,"19.9323","27.3887","14.9221"
0.075,"19.9316","27.3851","14.8916"
0.0833333,"19.9277","27.3872","14.8666"
0.0916667,"19.9054","27.3332","14.8264"
0.1,"19.9425","27.3702","14.8237"
0.108333,"19.907","27.3263","14.8023"
0.116667,"19.9161","27.3334","14.8271"
0.125,"19.8867","27.2996","14.8294"
0.133333,"19.8518","27.2384","14.8002"
0.141667,"19.8653","27.2896","14.8368"
0.15,"19.9066","27.3803","14.8925"
0.158333,"19.8799","27.3543","14.8845"
0.166667,"19.9141","27.4087","14.9267"
0.175,"19.9202","27.4022","14.9073"
0.183333,"19.9479","27.4202","14.8807"
0.191667,"19.9384","27.389","14.8423"
0.2,"19.8923","27.2966","14.7871"
0.208333,"19.9582","27.3527","14.7883"
0.216667,"19.9165","27.2902","14.7651"
0.225,"19.9016","27.2934","14.7883"
0.233333,"19.8536","27.2297","14.8003"
0.241667,"19.8834","27.2954","14.8745"
0.25,"19.8846","27.3734","14.9224"
0.258333,"19.8923","27.3885","14.9272"
0.266667,"19.9128","27.3954","14.9152"
0.275,"19.9254","27.4003","14.8853"
0.283333,"19.9324","27.3857","14.8425"
0.291667,"19.9066","27.287","14.7666"
0.3,"19.921","27.3004","14.8024"
0.308333,"19.9097","27.299","14.8197"
0.316667,"19.8884","27.2847","14.8355"
0.325,"19.8906","27.3106","14.8346"
0.333333,"19.8515","27.2669","14.8099"
0.341667,"19.8667","27.3143","14.8509"
0.35,"19.93","27.4061","14.8905"
0.358333,"19.9346","27.4034","14.8855"
0.366667,"19.9154","27.3486","14.8533"
0.375,"19.9278","27.3749","14.8548"
0.383333,"19.9294","27.3699","14.8416"
0.391667,"19.8985","27.3302","14.8368"
0.4,"19.861","27.292","14.8442"
0.408333,"19.9004","27.3914","14.8869"
0.416667,"19.8637","27.3322","14.8734"
0.425,"19.8635","27.2922","14.8583"
0.433333,"19.8905","27.3677","14.8519"
0.441667,"19.9012","27.3189","14.801"
0.45,"19.9345","27.3659","14.8075"
0.458333,"19.9391","27.35","14.8075"
0.466667,"19.9712","27.3792","14.8309"
0.475,"19.911","27.2936","14.8041"
0.483333,"19.8943","27.3039","14.8435"
0.491667,"19.9076","27.3368","14.8961"
0.5,"19.9036","27.3341","14.8959"
0.508333,"19.8522","27.2763","14.8599"
0.516667,"19.8784","27.3513","14.878"
0.525,"19.91","27.3778","14.8395"
0.533333,"19.8684","27.3053","14.7878"
0.541667,"19.9309","27.385","14.8123"
0.55,"19.9479","27.3895","14.8186"
0.558333,"19.9173","27.3135","14.8037"
0.566667,"19.9478","27.3707","14.883"
0.575,"19.9218","27.3368","14.9173"
0.583333,"19.8571","27.2926","14.886"
0.591667,"19.8582","27.3098","14.8643"
0.6,"19.8795","27.3258","14.8352"
0.608333,"19.9287","27.4149","14.8237"
0.616667,"19.931","27.3851","14.8187"
0.625,"19.9266","27.3739","14.8333"
0.633333,"19.9511","27.4286","14.8737"
0.641667,"19.9573","27.3974","14.9081"
