Time,"Position - cf13",,
,"TX","TY","TZ"
Seconds,"mm","mm","mm"
0,"15.6961","29.0555","15.3571"
0.00833333,"15.6953","29.0451","15.3586"
0.0166667,"15.6893","28.9966","15.3445"
0.025,"15.6539","28.9859","15.365"
0.0333333,"15.653","28.9695","15.3789"
0.0416667,"15.6186","28.9449","15.3628"
0.05,"15.6358","28.9941","15.3872"
0.0583333,"15.6342","28.9759","15.3507"
0.0666667,"15.6749","29.0211","15.3757"
0.075,"15.6967","29.0126","15.3191"
0.0833333,"15.6805","29.002","15.3279"
0.0916667,"15.6819","28.9807","15.3288"
0.1,"15.6854","28.9782","15.3643"
0.108333,"15.6502","28.9853","15.3865"
0.116667,"15.6222","28.973","15.4059"
0.125,"15.6214","28.9833","15.3734"
0.133333,"15.6329","29.0028","15.3885"
0.141667,"15.643","28.995","15.3662"
0.15,"15.6876","29.0117","15.3245"
0.158333,"15.6728","29.0104","15.3194"
0.166667,"15.7185","29.0132","15.3201"
0.175,"15.6697","28.9899","15.3446"
0.183333,"15.6634","29.007","15.4032"
0.191667,"15.6393","29.0084","15.4142"
0.2,"15.6354","28.9885","15.3964"
0.208333,"15.6427","28.9853","15.3796"
0.216667,"15.6681","28.9895","15.3243"
0.225,"15.6644","28.9955","15.3343"
0.233333,"15.6858","28.9882","15.3256"
0.241667,"15.6928","28.9874","15.3406"
0.25,"15.6791","28.9489","15.3213"
0.258333,"15.6663","28.9411","15.3533"
0.266667,"15.6344","28.9814","15.4232"
0.275,"15.632","29.0074","15.4366"
0.283333,"15.6593","29.0071","15.4056"
0.291667,"15.6654","29.0305","15.3821"
0.3,"15.6551","29.0218","15.3285"
0.308333,"15.6909","29.0305","15.2893"
0.316667,"15.6859","29.0075","15.3009"
0.325,"15.69","28.9995","15.3589"
0.333333,"15.6759","29.0001","15.4128"
0.341667,"15.6753","28.9869","15.4235"
0.35,"15.6514","29.0118","15.4654"
0.358333,"15.6635","29.0221","15.4299"
0.366667,"15.6378","29.0071","15.3735"
0.375,"15.6717","29.0255","15.3305"
0.383333,"15.6518","29.014","15.3119"
0.391667,"15.6685","29.0053","15.3116"
0.4,"15.6635","29.0136","15.3642"
0.408333,"15.6766","28.9985","15.3952"
0.416667,"15.6726","28.9766","15.4292"
0.425,"15.6753","28.9687","15.4114"
0.433333,"15.6351","28.9987","15.4465"
0.441667,"15.6735","28.9832","15.3639"
0.45,"15.6714","29.0111","15.3508"
0.458333,"15.6551","28.9977","15.3262"
0.466667,"15.6613","28.9581","15.2674"
0.475,"15.67","28.9939","15.3327"
0.483333,"15.657","28.9947","15.3702"
0.491667,"15.6656","28.9951","15.3835"
0.5,"15.6841","29.028","15.4284"
0.508333,"15.6688","29.0191","15.433"
0.516667,"15.6773","29.0202","15.4167"
0.525,"15.685","29.0305","15.3953"
0.533333,"15.6646","29.0236","15.3344"
0.541667,"15.664","28.9656","15.2912"
0.55,"15.6384","28.9727","15.3194"
0.558333,"15.637","28.9829","15.3769"
0.566667,"15.6503","28.9727","15.375"
0.575,"15.649","28.9813","15.371"
0.583333,"15.6591","28.9689","15.3577"
0.591667,"15.6589","29.003","15.3814"
0.6,"15.6788","29.0291","15.3844"
0.608333,"15.6754","29.0134","15.4144"
0.616667,"15.6943","29.0178","15.3948"
0.625,"15.6878","28.9993","15.3923"
0.633333,"15.6548","28.9964","15.3992"
0.641667,"15.653","28.9678","15.3438"
