Time,TX,TY,TZ
0,"21.9722","-6.23399","15.1548"
0.00833333,"21.9819","-6.2772","15.1123"
0.0166667,"21.9377","-6.2384","15.1921"
0.025,"21.9661","-6.22119","15.1778"
0.0333333,"21.9679","-6.26821","15.0836"
0.0416667,"21.9859","-6.27651","15.0008"
0.05,"21.9336","-6.26868","15.0249"
0.0583333,"21.9294","-6.26243","15.0428"
0.0666667,"21.9507","-6.30717","14.9679"
0.075,"21.9569","-6.2561","15.0695"
0.0833333,"21.964","-6.28717","15.0132"
0.0916667,"21.9983","-6.27176","15.0586"
0.1,"21.9746","-6.24778","15.1168"
0.108333,"21.9439","-6.24557","15.1447"
0.116667,"21.9387","-6.22995","15.1748"
0.125,"21.9781","-6.25921","15.0704"
0.133333,"21.9682","-6.27446","15.0253"
0.141667,"21.9872","-6.26574","15.0217"
0.15,"21.914","-6.23352","15.1106"
0.158333,"21.9468","-6.26425","15.0466"
0.166667,"21.9653","-6.26119","15.0483"
0.175,"21.9457","-6.21548","15.1551"
0.183333,"21.982","-6.24067","15.1063"
0.191667,"21.9574","-6.21669","15.1435"
0.2,"21.9279","-6.20962","15.1516"
0.208333,"21.9704","-6.26193","15.0519"
0.216667,"21.9554","-6.2527","15.048"
0.225,"21.9183","-6.21958","15.1203"
0.233333,"21.9397","-6.22708","15.118"
0.241667,"21.9407","-6.23955","15.0932"
0.25,"21.9554","-6.22929","15.0986"
0.258333,"21.9583","-6.26607","15.0777"
0.266667,"21.9656","-6.2468","15.1145"
0.275,"21.9627","-6.24665","15.1084"
0.283333,"21.9509","-6.28085","15.0794"
0.291667,"21.9693","-6.28681","15.0508"
0.3,"21.9271","-6.24998","15.1311"
0.308333,"21.8917","-6.2748","15.0766"
0.316667,"21.9464","-6.24274","15.085"
0.325,"21.9462","-6.26039","15.0615"
0.333333,"21.9967","-6.26815","15.01"
0.341667,"21.9708","-6.24956","15.0942"
0.35,"21.9992","-6.26695","15.0582"
0.358333,"21.9575","-6.23332","15.1589"
0.366667,"21.958","-6.2552","15.1173"
0.375,"21.9275","-6.25554","15.1034"
0.383333,"21.9462","-6.25481","15.0749"
0.391667,"21.9672","-6.25494","15.0465"
0.4,"21.9621","-6.26338","15.0441"
0.408333,"21.9543","-6.21135","15.1205"
0.416667,"21.9866","-6.22867","15.0904"
0.425,"21.9698","-6.21987","15.1354"
0.433333,"21.9979","-6.28325","15.0223"
0.441667,"21.9833","-6.24239","15.1019"
0.45,"21.9878","-6.28357","15.0254"
0.458333,"21.9435","-6.27454","15.0495"
0.466667,"21.8991","-6.25794","15.0926"
0.475,"21.8978","-6.24923","15.1045"
0.483333,"21.9183","-6.25004","15.1146"
0.491667,"21.9674","-6.22314","15.1247"
0.5,"21.9821","-6.2445","15.1025"
0.508333,"22.0166","-6.25705","15.0486"
0.516667,"21.9704","-6.22654","15.1136"
0.525,"21.9567","-6.23286","15.1316"
0.533333,"21.934","-6.21352","15.1857"
0.541667,"21.9325","-6.23517","15.1319"
0.55,"21.9517","-6.26391","15.0615"
