Time,TX,TY,TZ
0,"13.6225","24.2555","11.6991"
0.00833333,"13.6184","24.2523","11.6915"
0.0166667,"13.6268","24.2479","11.6913"
0.025,"13.6384","24.2637","11.6863"
0.0333333,"13.6777","24.2944","11.69"
0.0416667,"13.672","24.3232","11.6863"
0.05,"13.672","24.3228","11.6963"
0.0583333,"13.6566","24.3156","11.7166"
0.0666667,"13.6321","24.3352","11.7388"
0.075,"13.6553","24.3382","11.7785"
0.0833333,"13.6388","24.323","11.7798"
0.0916667,"13.6524","24.3067","11.7429"
0.1,"13.637","24.2739","11.7234"
0.108333,"13.6483","24.2594","11.6778"
0.116667,"13.658","24.2291","11.6499"
0.125,"13.6565","24.2403","11.6185"
0.133333,"13.666","24.2548","11.6209"
0.141667,"13.6731","24.3016","11.6696"
0.15,"13.6438","24.3065","11.7013"
0.158333,"13.6364","24.2996","11.7367"
0.166667,"13.6497","24.312","11.7711"
0.175,"13.626","24.305","11.7839"
0.183333,"13.6436","24.3305","11.7904"
0.191667,"13.6255","24.3097","11.7787"
0.2,"13.6544","24.3152","11.7387"
0.208333,"13.678","24.3142","11.7063"
0.216667,"13.6814","24.3136","11.6658"
0.225,"13.6866","24.2999","11.6307"
0.233333,"13.7009","24.2929","11.6607"
0.241667,"13.6855","24.2892","11.7037"
0.25,"13.6705","24.2943","11.7574"
0.258333,"13.6561","24.2969","11.7907"
0.266667,"13.6514","24.3166","11.7889"
0.275,"13.6374","24.3149","11.8005"
0.283333,"13.6582","24.3458","11.7976"
0.291667,"13.6762","24.3254","11.7516"
0.3,"13.6738","24.3135","11.7103"
0.308333,"13.6845","24.297","11.6802"
0.316667,"13.6664","24.274","11.6569"
0.325,"13.663","24.2573","11.6577"
0.333333,"13.651","24.2528","11.6731"
0.341667,"13.6488","24.2835","11.7424"
0.35,"13.6476","24.3228","11.7763"
0.358333,"13.6462","24.3362","11.7874"
0.366667,"13.6621","24.359","11.8012"
0.375,"13.6564","24.373","11.8002"
0.383333,"13.6783","24.3603","11.776"
0.391667,"13.6773","24.3277","11.7151"
0.4,"13.674","24.2767","11.6828"
0.408333,"13.6583","24.2599","11.6555"
0.416667,"13.663","24.2479","11.6509"
0.425,"13.6353","24.2388","11.6391"
0.433333,"13.6227","24.251","11.6617"
0.441667,"13.6203","24.2758","11.6975"
0.45,"13.6343","24.3161","11.7296"
0.458333,"13.6451","24.3284","11.7629"
0.466667,"13.6546","24.344","11.7751"
0.475,"13.6439","24.3381","11.7686"
0.483333,"13.6652","24.3113","11.7491"
0.491667,"13.6557","24.293","11.7043"
0.5,"13.6583","24.2633","11.6576"
0.508333,"13.6538","24.2713","11.6188"
0.516667,"13.6495","24.269","11.641"
0.525,"13.6463","24.2795","11.6831"
0.533333,"13.6538","24.2893","11.7247"
0.541667,"13.6565","24.3025","11.7393"
0.55,"13.6498","24.3048","11.7365"
0.558333,"13.6179","24.2867","11.733"
0.566667,"13.6258","24.276","11.7038"
0.575,"13.6543","24.2712","11.6972"
0.583333,"13.6589","24.2853","11.7033"
0.591667,"13.662","24.3007","11.7135"
0.6,"13.6641","24.3027","11.7013"
0.608333,"13.6747","24.3148","11.6967"
0.616667,"13.6652","24.305","11.717"
0.625,"13.6642","24.3005","11.7433"
0.633333,"13.6438","24.2734","11.7393"
0.641667,"13.6586","24.2904","11.7552"
0.65,"13.6595","24.3027","11.7685"
0.658333,"13.6822","24.325","11.7609"
0.666667,"13.6997","24.35","11.7521"
0.675,"13.7138","24.3407","11.7346"
0.683333,"13.7198","24.3502","11.731"
0.691667,"13.6861","24.3181","11.7213"
0.7,"13.6581","24.2927","11.7059"
0.708333,"13.6523","24.2707","11.7065"
0.716667,"13.6482","24.2608","11.7395"
0.725,"13.6352","24.27","11.7616"
0.733333,"13.634","24.2977","11.7844"
0.741667,"13.6531","24.3321","11.7766"
0.75,"13.6764","24.3585","11.7585"
0.758333,"13.6962","24.3727","11.7453"
0.766667,"13.7086","24.3473","11.7164"
0.775,"13.6867","24.3296","11.6932"
0.783333,"13.6595","24.2935","11.6953"
0.791667,"13.6498","24.2806","11.715"
0.8,"13.6502","24.2863","11.7338"
0.808333,"13.6511","24.3043","11.7504"
0.816667,"13.6599","24.3033","11.7638"
0.825,"13.6573","24.3158","11.7527"
0.833333,"13.6489","24.3035","11.7272"
0.841667,"13.6673","24.289","11.6745"
0.85,"13.6622","24.2784","11.6663"
0.858333,"13.6236","24.2581","11.6222"
0.866667,"13.6508","24.2416","11.663"
0.875,"13.6372","24.2664","11.7164"
0.883333,"13.6101","24.2475","11.7159"
0.891667,"13.6232","24.2492","11.7253"
0.9,"13.6288","24.2899","11.7189"
0.908333,"13.6343","24.3011","11.6792"
0.916667,"13.6279","24.3155","11.6695"
0.925,"13.6431","24.3212","11.6806"
0.933333,"13.6448","24.306","11.7034"
0.941667,"13.6457","24.3053","11.7501"
0.95,"13.6422","24.2474","11.7874"
0.958333,"13.679","24.2173","11.7818"
0.966667,"13.7094","24.1933","11.7806"
0.975,"13.6964","24.1917","11.7401"
0.983333,"13.7343","24.2165","11.6765"
0.991667,"13.7284","24.2482","11.6763"
1,"13.6817","24.2217","11.6887"
1.00833,"13.646","24.2182","11.6986"
1.01667,"13.5987","24.1959","11.7156"
1.025,"13.5896","24.1867","11.7296"
1.03333,"13.5662","24.1822","11.7996"
1.04167,"13.5709","24.1999","11.8393"
1.05,"13.5542","24.2611","11.9029"
1.05833,"13.5508","24.2802","11.8096"
1.06667,"13.4861","24.3056","11.7989"
1.075,"13.4299","24.3243","11.8087"
1.08333,"13.3795","24.3598","11.7156"
1.09167,"13.2973","24.3874","11.7142"
1.1,"13.1983","24.4434","11.7649"
1.10833,"13.1159","24.5223","11.8582"
1.11667,"13.0781","24.5603","11.8612"
1.125,"13.0141","24.6366","11.869"
1.13333,"12.9429","24.7308","11.8185"
1.14167,"12.8433","24.8127","11.8714"
1.15,"12.7738","24.9629","11.8557"
1.15833,"12.6772","25.0639","11.7422"
1.16667,"12.5952","25.1849","11.6665"
1.175,"12.5476","25.3052","11.6791"
1.18333,"12.4676","25.444","11.83"
1.19167,"12.4319","25.5371","11.9309"
1.2,"12.3977","25.6884","11.8495"
1.20833,"12.3024","25.8336","11.8358"
1.21667,"12.3213","25.9872","11.8572"
1.225,"12.3082","26.1379","11.814"
1.23333,"12.3097","26.2541","11.737"
1.24167,"12.3213","26.3585","11.6952"
1.25,"12.3095","26.445","11.6439"
1.25833,"12.3231","26.4936","11.7679"
1.26667,"12.3106","26.5229","11.8827"
1.275,"12.2838","26.5846","11.8447"
1.28333,"12.3149","26.6666","11.7609"
1.29167,"12.305","26.7245","11.7427"
1.3,"12.3196","26.8524","11.6904"
1.30833,"12.3201","26.9789","11.6544"
1.31667,"12.3215","27.1653","11.7089"
1.325,"12.345","27.3203","11.6979"
1.33333,"12.3185","27.5034","11.7622"
1.34167,"12.3024","27.6701","11.7929"
1.35,"12.3063","27.7841","11.7937"
1.35833,"12.324","27.9271","11.8272"
1.36667,"12.3435","28.058","11.8318"
1.375,"12.3963","28.1793","11.8096"
1.38333,"12.4704","28.3089","11.7893"
1.39167,"12.5087","28.4383","11.7754"
1.4,"12.5222","28.5797","11.8155"
1.40833,"12.5591","28.6542","11.8426"
1.41667,"12.5737","28.771","11.8993"
1.425,"12.6136","28.8817","11.9661"
1.43333,"12.633","29.0738","12.1229"
1.44167,"12.6777","29.2673","12.2174"
1.45,"12.7199","29.393","12.2549"
1.45833,"12.8169","29.5982","12.3754"
1.46667,"12.9101","29.7615","12.4736"
1.475,"13.0054","29.973","12.6961"
1.48333,"13.0872","30.1217","12.96"
1.49167,"13.2066","30.2992","13.267"
1.5,"13.2819","30.4904","13.6176"
1.50833,"13.4346","30.6415","13.9426"
1.51667,"13.5582","30.8469","14.3278"
1.525,"13.7197","30.9835","14.6514"
1.53333,"13.8688","31.1828","15.1151"
1.54167,"14.0171","31.3414","15.6162"
1.55,"14.213","31.5752","16.2534"
1.55833,"14.4274","31.7412","16.959"
1.56667,"14.5951","31.908","17.7298"
1.575,"14.8336","32.0948","18.5275"
1.58333,"15.0397","32.3124","19.3921"
1.59167,"15.3169","32.5424","20.3693"
1.6,"15.5666","32.8453","21.4636"
1.60833,"15.8484","33.102","22.5585"
1.61667,"16.1532","33.3755","23.8199"
1.625,"16.4656","33.6351","25.2227"
1.63333,"16.7307","33.8539","26.6559"
1.64167,"17.0834","34.1465","28.2204"
1.65,"17.4296","34.3613","29.8358"
1.65833,"17.7708","34.5823","31.5326"
1.66667,"18.0901","34.8306","33.3008"
1.675,"18.4645","34.998","35.0891"
