Time,TX,TY,TZ
0,"13.8308","24.1257","11.6475"
0.00833333,"13.8208","24.1538","11.7091"
0.0166667,"13.8325","24.1662","11.728"
0.025,"13.8363","24.1805","11.7259"
0.0333333,"13.814","24.1785","11.7031"
0.0416667,"13.848","24.1481","11.6583"
0.05,"13.8406","24.1725","11.6632"
0.0583333,"13.8543","24.1525","11.6644"
0.0666667,"13.839","24.1794","11.6685"
0.075,"13.8392","24.1596","11.6554"
0.0833333,"13.8286","24.1835","11.6706"
0.0916667,"13.833","24.1841","11.6728"
0.1,"13.8502","24.1781","11.6725"
0.108333,"13.8575","24.1911","11.6846"
0.116667,"13.8426","24.2021","11.7181"
0.125,"13.8501","24.1999","11.7218"
0.133333,"13.866","24.1871","11.7052"
0.141667,"13.8329","24.1782","11.6969"
0.15,"13.8263","24.1423","11.6664"
0.158333,"13.838","24.1321","11.6486"
0.166667,"13.8498","24.1654","11.6319"
0.175,"13.8454","24.1515","11.6429"
0.183333,"13.8643","24.1856","11.6694"
0.191667,"13.8479","24.1734","11.6803"
0.2,"13.8469","24.1631","11.6784"
0.208333,"13.8422","24.1469","11.6905"
0.216667,"13.8116","24.164","11.7074"
0.225,"13.8373","24.1609","11.7161"
0.233333,"13.8331","24.1709","11.6913"
0.241667,"13.8527","24.1727","11.6742"
0.25,"13.8466","24.1579","11.6347"
0.258333,"13.8716","24.1657","11.6018"
0.266667,"13.8547","24.1604","11.6222"
0.275,"13.8367","24.1425","11.6349"
0.283333,"13.8359","24.1587","11.6898"
0.291667,"13.8282","24.1415","11.6861"
0.3,"13.8311","24.1526","11.7007"
0.308333,"13.8116","24.1662","11.7065"
0.316667,"13.8067","24.1718","11.6826"
0.325,"13.8118","24.1665","11.6791"
0.333333,"13.8371","24.1623","11.6627"
0.341667,"13.8546","24.1425","11.6279"
0.35,"13.8446","24.1353","11.5994"
0.358333,"13.8455","24.1508","11.6218"
0.366667,"13.834","24.1573","11.659"
0.375,"13.8199","24.1659","11.685"
0.383333,"13.823","24.1777","11.7018"
0.391667,"13.8314","24.1666","11.7059"
0.4,"13.8356","24.1806","11.676"
0.408333,"13.8331","24.1802","11.6551"
0.416667,"13.844","24.1625","11.6311"
0.425,"13.8537","24.1811","11.6487"
0.433333,"13.8762","24.1862","11.6764"
0.441667,"13.8608","24.1755","11.6885"
0.45,"13.8587","24.195","11.6991"
0.458333,"13.837","24.1725","11.6981"
0.466667,"13.8103","24.1356","11.6974"
0.475,"13.8284","24.103","11.6677"
0.483333,"13.8076","24.0955","11.6456"
0.491667,"13.8257","24.1366","11.6323"
0.5,"13.8264","24.1518","11.6053"
0.508333,"13.8465","24.168","11.6102"
0.516667,"13.8676","24.1738","11.6359"
0.525,"13.8759","24.1796","11.6826"
0.533333,"13.87","24.1926","11.7179"
0.541667,"13.8457","24.1955","11.7224"
0.55,"13.8487","24.1992","11.7254"
0.558333,"13.8332","24.1841","11.7244"
0.566667,"13.8344","24.1773","11.6855"
0.575,"13.8422","24.1553","11.6539"
0.583333,"13.8393","24.1258","11.6165"
0.591667,"13.8586","24.1189","11.5956"
0.6,"13.8371","24.1279","11.6226"
0.608333,"13.8444","24.1158","11.627"
0.616667,"13.8406","24.1336","11.6455"
0.625,"13.8284","24.144","11.6526"
0.633333,"13.8231","24.1609","11.6764"
0.641667,"13.8523","24.1896","11.7029"
0.65,"13.853","24.2","11.6845"
0.658333,"13.8356","24.1539","11.6828"
0.666667,"13.8372","24.1861","11.6914"
0.675,"13.8274","24.1502","11.6698"
0.683333,"13.8301","24.1353","11.646"
0.691667,"13.8369","24.1376","11.6293"
0.7,"13.8279","24.1474","11.6293"
0.708333,"13.8605","24.1623","11.6323"
0.716667,"13.855","24.1557","11.6524"
0.725,"13.8604","24.1727","11.6679"
0.733333,"13.8494","24.1789","11.6867"
0.741667,"13.8326","24.1819","11.7038"
0.75,"13.8384","24.1721","11.7115"
0.758333,"13.8297","24.161","11.7131"
0.766667,"13.849","24.152","11.7057"
0.775,"13.836","24.1602","11.677"
0.783333,"13.8236","24.1299","11.6272"
